Row_Index,Fecha,Hora,Airtime,Bandwidth,Coding rate,rssi,rssi p,snr,snr p,spreading factot,f cnt,f port,frequency,Etotal_SMA,F_SMA,IDC_SMA,I_SMA,PAC_SMA,PDC_SMA,Temp_SMA,VAC_SMA,VDC_SMA
124,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
